2022-01-24 12:01:484 INFO  ManageDriver :33 - Launching Chrome Browser
2022-01-24 12:01:353 INFO  ManageDriver :33 - Launching Chrome Browser
2022-01-24 13:01:854 INFO  ManageDriver :33 - Launching Chrome Browser
2022-01-24 13:01:453 INFO  HomePage :39 - Enter user name and password:- standard_usersecret_sauce
2022-01-24 13:01:649 INFO  HomePage :44 - Click on login button:- [[ChromeDriver: chrome on WINDOWS (c124d8daa06fd209a58dbb7b7259b4a5)] -> id: login-button]
2022-01-24 13:01:428 INFO  ManageDriver :33 - Launching Chrome Browser
2022-01-24 13:01:28 INFO  HomePage :39 - Enter user name and password:- standard_usersecret_sauce
2022-01-24 13:01:242 INFO  HomePage :44 - Click on login button:- [[ChromeDriver: chrome on WINDOWS (6b236a59edca04255fb2fb55d07d77e5)] -> id: login-button]
2022-01-24 13:01:969 INFO  ManageDriver :33 - Launching Chrome Browser
2022-01-24 13:01:510 INFO  HomePage :39 - Enter user name and password:- standard_usersecret_sauce
2022-01-24 13:01:841 INFO  HomePage :44 - Click on login button:- [[ChromeDriver: chrome on WINDOWS (c1b44f24b36ce59dd8d75431053da0a7)] -> id: login-button]
2022-01-24 13:01:911 INFO  ManageDriver :33 - Launching Chrome Browser
2022-01-24 13:01:511 INFO  HomePage :39 - Enter user name and password:- standard_usersecret_sauce
2022-01-24 13:01:900 INFO  HomePage :44 - Click on login button:- [[ChromeDriver: chrome on WINDOWS (0a225b91666c354ad712ae7613c1f66f)] -> id: login-button]
2022-01-24 14:01:786 INFO  ManageDriver :33 - Launching Chrome Browser
2022-01-24 14:01:973 INFO  HomePage :39 - Enter user name and password:- standard_usersecret_sauce
2022-01-24 14:01:223 INFO  HomePage :44 - Click on login button:- [[ChromeDriver: chrome on WINDOWS (677ec5fc150f8cda193aeb53607d333f)] -> id: login-button]
2022-01-24 14:01:886 INFO  InventoryPage :38 - Select from the drop down menu:- Price (high to low)
2022-01-24 14:01:06 INFO  InventoryPage :43 - Select the cheapest item:- [[ChromeDriver: chrome on WINDOWS (677ec5fc150f8cda193aeb53607d333f)] -> link text: Sauce Labs Onesie]
2022-01-24 14:01:115 INFO  InventoryItemPage :37 - Click on add to cart:- [[ChromeDriver: chrome on WINDOWS (677ec5fc150f8cda193aeb53607d333f)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
2022-01-24 14:01:201 INFO  InventoryItemPage :42 - Click on back to products:- [[ChromeDriver: chrome on WINDOWS (677ec5fc150f8cda193aeb53607d333f)] -> id: back-to-products]
2022-01-24 14:01:564 INFO  InventoryPage :38 - Select from the drop down menu:- Price (high to low)
2022-01-24 14:01:713 INFO  InventoryPage :48 - Select the costliest item:- Proxy element for: DefaultElementLocator 'By.linkText: Sauce Labs Fleece Jacket'
2022-01-24 14:01:754 INFO  ManageDriver :33 - Launching Chrome Browser
2022-01-24 14:01:938 INFO  HomePage :39 - Enter user name and password:- standard_usersecret_sauce
2022-01-24 14:01:144 INFO  HomePage :44 - Click on login button:- [[ChromeDriver: chrome on WINDOWS (9ad0ac8e14a632ea7e207a212935e18e)] -> id: login-button]
2022-01-24 14:01:853 INFO  InventoryPage :38 - Select from the drop down menu:- Price (high to low)
2022-01-24 14:01:976 INFO  InventoryPage :43 - Select the cheapest item:- [[ChromeDriver: chrome on WINDOWS (9ad0ac8e14a632ea7e207a212935e18e)] -> link text: Sauce Labs Onesie]
2022-01-24 14:01:78 INFO  InventoryItemPage :37 - Click on add to cart:- [[ChromeDriver: chrome on WINDOWS (9ad0ac8e14a632ea7e207a212935e18e)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
2022-01-24 14:01:167 INFO  InventoryItemPage :42 - Click on back to products:- [[ChromeDriver: chrome on WINDOWS (9ad0ac8e14a632ea7e207a212935e18e)] -> id: back-to-products]
2022-01-24 14:01:520 INFO  InventoryPage :38 - Select from the drop down menu:- Price (high to low)
2022-01-24 14:01:651 INFO  InventoryPage :48 - Select the costliest item:- Proxy element for: DefaultElementLocator 'By.linkText: Sauce Labs Fleece Jacket'
2022-01-24 14:01:483 INFO  ManageDriver :33 - Launching Chrome Browser
2022-01-24 14:01:637 INFO  HomePage :39 - Enter user name and password:- standard_usersecret_sauce
2022-01-24 14:01:870 INFO  HomePage :44 - Click on login button:- [[ChromeDriver: chrome on WINDOWS (2bb8183f20b21cb4fa686c0043a3e12b)] -> id: login-button]
2022-01-24 14:01:448 INFO  InventoryPage :38 - Select from the drop down menu:- Price (high to low)
2022-01-24 14:01:539 INFO  InventoryPage :43 - Select the cheapest item:- [[ChromeDriver: chrome on WINDOWS (2bb8183f20b21cb4fa686c0043a3e12b)] -> link text: Sauce Labs Onesie]
2022-01-24 14:01:611 INFO  InventoryItemPage :38 - Click on add to cart:- [[ChromeDriver: chrome on WINDOWS (2bb8183f20b21cb4fa686c0043a3e12b)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
2022-01-24 14:01:683 INFO  InventoryItemPage :43 - Click on back to products:- [[ChromeDriver: chrome on WINDOWS (2bb8183f20b21cb4fa686c0043a3e12b)] -> xpath: //div[@class='left_component']//button]
2022-01-24 14:01:845 INFO  InventoryPage :38 - Select from the drop down menu:- Price (high to low)
2022-01-24 14:01:795 INFO  ManageDriver :33 - Launching Chrome Browser
2022-01-24 14:01:372 INFO  HomePage :39 - Enter user name and password:- standard_usersecret_sauce
2022-01-24 14:01:788 INFO  HomePage :44 - Click on login button:- [[ChromeDriver: chrome on WINDOWS (b886c28fe3ef0111d2ee0acd599123f8)] -> id: login-button]
2022-01-24 14:01:301 INFO  InventoryPage :38 - Select from the drop down menu:- Price (high to low)
2022-01-24 14:01:405 INFO  InventoryPage :43 - Select the cheapest item:- [[ChromeDriver: chrome on WINDOWS (b886c28fe3ef0111d2ee0acd599123f8)] -> link text: Sauce Labs Onesie]
2022-01-24 14:01:510 INFO  InventoryItemPage :38 - Click on add to cart:- [[ChromeDriver: chrome on WINDOWS (b886c28fe3ef0111d2ee0acd599123f8)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
2022-01-24 14:01:647 INFO  InventoryItemPage :44 - Click on back to products:- [[ChromeDriver: chrome on WINDOWS (b886c28fe3ef0111d2ee0acd599123f8)] -> xpath: //div[@class='left_component']//button]
2022-01-24 14:01:93 INFO  InventoryPage :38 - Select from the drop down menu:- Price (high to low)
2022-01-24 14:01:213 INFO  InventoryPage :48 - Select the costliest item:- Proxy element for: DefaultElementLocator 'By.linkText: Sauce Labs Fleece Jacket'
2022-01-24 14:01:121 INFO  ManageDriver :33 - Launching Chrome Browser
2022-01-24 14:01:805 INFO  HomePage :39 - Enter user name and password:- standard_usersecret_sauce
2022-01-24 14:01:16 INFO  HomePage :44 - Click on login button:- [[ChromeDriver: chrome on WINDOWS (68748b46bc019748140f552dd0855576)] -> id: login-button]
2022-01-24 14:01:387 INFO  InventoryPage :38 - Select from the drop down menu:- Price (high to low)
2022-01-24 14:01:492 INFO  InventoryPage :43 - Select the cheapest item:- [[ChromeDriver: chrome on WINDOWS (68748b46bc019748140f552dd0855576)] -> link text: Sauce Labs Onesie]
2022-01-24 14:01:563 INFO  InventoryItemPage :39 - Click on add to cart:- [[ChromeDriver: chrome on WINDOWS (68748b46bc019748140f552dd0855576)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
2022-01-24 14:01:611 INFO  ManageDriver :33 - Launching Chrome Browser
2022-01-24 14:01:919 INFO  HomePage :39 - Enter user name and password:- standard_usersecret_sauce
2022-01-24 14:01:135 INFO  HomePage :44 - Click on login button:- [[ChromeDriver: chrome on WINDOWS (a22fc6ff353e702d21b8e1bbc077f025)] -> id: login-button]
2022-01-24 14:01:703 INFO  InventoryPage :38 - Select from the drop down menu:- Price (high to low)
2022-01-24 14:01:788 INFO  InventoryPage :43 - Select the cheapest item:- [[ChromeDriver: chrome on WINDOWS (a22fc6ff353e702d21b8e1bbc077f025)] -> link text: Sauce Labs Onesie]
2022-01-24 14:01:850 INFO  InventoryItemPage :39 - Click on add to cart:- [[ChromeDriver: chrome on WINDOWS (a22fc6ff353e702d21b8e1bbc077f025)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
2022-01-24 14:01:436 INFO  ManageDriver :33 - Launching Chrome Browser
2022-01-24 14:01:641 INFO  HomePage :39 - Enter user name and password:- standard_usersecret_sauce
2022-01-24 14:01:987 INFO  HomePage :44 - Click on login button:- [[ChromeDriver: chrome on WINDOWS (8a3fa7b0ca89e58c5d83b775ded9b614)] -> id: login-button]
2022-01-24 14:01:567 INFO  InventoryPage :38 - Select from the drop down menu:- Price (high to low)
2022-01-24 14:01:656 INFO  InventoryPage :43 - Select the cheapest item:- [[ChromeDriver: chrome on WINDOWS (8a3fa7b0ca89e58c5d83b775ded9b614)] -> link text: Sauce Labs Onesie]
2022-01-24 14:01:732 INFO  InventoryItemPage :39 - Click on add to cart:- [[ChromeDriver: chrome on WINDOWS (8a3fa7b0ca89e58c5d83b775ded9b614)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
2022-01-24 14:01:897 INFO  InventoryItemPage :52 - Click on back to products:- [[ChromeDriver: chrome on WINDOWS (8a3fa7b0ca89e58c5d83b775ded9b614)] -> xpath: //div[@class='left_component']//button]
2022-01-24 14:01:61 INFO  InventoryPage :38 - Select from the drop down menu:- Price (high to low)
2022-01-24 14:01:203 INFO  InventoryPage :48 - Select the costliest item:- Proxy element for: DefaultElementLocator 'By.linkText: Sauce Labs Fleece Jacket'
2022-01-24 14:01:755 INFO  ManageDriver :33 - Launching Chrome Browser
2022-01-24 14:01:60 INFO  HomePage :39 - Enter user name and password:- standard_usersecret_sauce
2022-01-24 14:01:302 INFO  HomePage :44 - Click on login button:- [[ChromeDriver: chrome on WINDOWS (c45d1a35680afdd080a649c9f3406347)] -> id: login-button]
2022-01-24 14:01:953 INFO  InventoryPage :38 - Select from the drop down menu:- Price (high to low)
2022-01-24 14:01:83 INFO  InventoryPage :43 - Select the cheapest item:- [[ChromeDriver: chrome on WINDOWS (c45d1a35680afdd080a649c9f3406347)] -> link text: Sauce Labs Onesie]
2022-01-24 14:01:196 INFO  InventoryItemPage :40 - Click on add to cart:- [[ChromeDriver: chrome on WINDOWS (c45d1a35680afdd080a649c9f3406347)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
